"Reference","Qty","Value","DNP","Exclude from Board","MANUFACTURER","Manufacturer_Part_Number","Link"
"AE1","1","PCB_antenna","","Exclure du PCB","","",""
"AE2","1","AMCA31-2R450G-S1F-T3","","","ABRACON","AMCA31-2R450G-S1F-T3","https://www.mouser.ch/ProductDetail/ABRACON/AMCA31-2R450G-S1F-T3?qs=AAveGqk956GLuOddQEK40Q%3D%3D"
"C1,C2,C28,C30,C40,C41,C42,C43,C45,C46,C47,C51","12","100nF","","","Samsung Electro-Mechanics","CL05B104KP5VPNC ","https://eu.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL05B104KP5VPNC?qs=gqBM4hNBiUXTv%252BkFO9q2pQ%3D%3D"
"C3,C4","2","10pF","","","KYOCERA AVX","0603ZC100KAT2A","https://www.mouser.ch/ProductDetail/KYOCERA-AVX/0603ZC100KAT2A?qs=jGANiKWBgcibzoGXAkKY5Q%3D%3D"
"C5,C13","2","100μF","","","","",""
"C6,C12","2",">10μF","","","","",""
"C7,C8,C10,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24","14","1μF","","","","",""
"C9,C11","2","0.1μF","","","","",""
"C25,C26,C27,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68","16","10nF","","","","",""
"C29,C31,C50,C52","4","10uF","","","Murata Electronics","GRM155R61A106ME11D","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRM155R61A106ME11D?qs=xZ%2FP%252Ba9zWqZMJSi57Q8OyA%3D%3D"
"C34","1","0.8pF","","","Murata Electronics","GRM1555C1HR80BA01D","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRM1555C1HR80BA01D?qs=e%252BE4OD6MgMezPYPintwvrA%3D%3D"
"C35","1","0.3pF","","","Murata Electronics"," GRM1555C1HR30WA01D ","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRM1555C1HR30WA01D?qs=e%252BE4OD6MgMcS%252BbE0ktTutg%3D%3D"
"C38","1","1.5pF","","","Walsin","0402N1R5B100CT ","https://www.mouser.ch/ProductDetail/Walsin/0402N1R5B100CT?qs=ZrPdAQfJ6DObCBhS8paADQ%3D%3D"
"C44","1","1uF","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","https://www.mouser.ch/ProductDetail/Samsung-Electro-Mechanics/CL05A105KP5NNNC?qs=X6jEic%2FHinBsUeNeR9HD7w%3D%3D"
